Ovr,Name,POS,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
88,Kaleb Johnson,RB,PIT,98.0,75.0,,58.0,,,,,,,,,,,,,,
14,J.K. Dobbins,RB,DEN,14.0,17.0,14.0,28.0,,,,,,,,,,,,,,
19,Kenneth Gainwell,RB,PIT,41.0,38.0,28.0,3.0,,,,,,,,,,,,,,
6,Javonte Williams,RB,DAL,5.0,4.0,15.0,14.0,,,,,,,,,,,,,,
93,Tyler Goodson,RB,IND,,,73.0,70.0,,,,,,,,,,,,,,
55,Jeremy McNichols,RB,WAS,56.0,76.0,18.0,64.0,,,,,,,,,,,,,,
15,Kyren Williams,RB,LA,19.0,30.0,9.0,22.0,,,,,,,,,,,,,,
61,Brian Robinson,RB,SF,44.0,56.0,64.0,59.0,,,,,,,,,,,,,,
104,Kimani Vidal,RB,LAC,,,,77.0,,,,,,,,,,,,,,
32,Rhamondre Stevenson,RB,NE,44.0,8.0,32.0,49.0,,,,,,,,,,,,,,
74,George Holani,RB,SEA,,,44.0,,,,,,,,,,,,,,,
102,Sean Tucker,RB,TB,82.0,76.0,,,,,,,,,,,,,,,,
95,Jacob Saylors,RB,DET,,,77.0,67.0,,,,,,,,,,,,,,
22,Cam Skattebo,RB,NYG,51.0,23.0,5.0,32.0,,,,,,,,,,,,,,
104,Jeff Wilson Jr.,RB,MIA,84.0,,,,,,,,,,,,,,,,,
2,James Cook,RB,BUF,4.0,2.0,8.0,10.0,,,,,,,,,,,,,,
26,Breece Hall,RB,NYJ,10.0,41.0,31.0,19.0,,,,,,,,,,,,,,
56,Braelon Allen,RB,NYJ,35.0,69.0,40.0,57.0,,,,,,,,,,,,,,
23,Alvin Kamara,RB,NO,21.0,12.0,42.0,29.0,,,,,,,,,,,,,,
91,Adam Prentice,RB,DEN,65.0,76.0,77.0,73.0,,,,,,,,,,,,,,
95,Scott Matlock,RB,LAC,84.0,76.0,77.0,67.0,,,,,,,,,,,,,,
39,Tyler Allgeier,RB,ATL,57.0,20.0,70.0,30.0,,,,,,,,,,,,,,
71,Zamir White,RB,LV,75.0,54.0,56.0,,,,,,,,,,,,,,,
76,Devin Singletary,RB,NYG,73.0,70.0,72.0,56.0,,,,,,,,,,,,,,
104,Ulysses Bentley IV,RB,IND,84.0,,,,,,,,,,,,,,,,,
46,Zach Charbonnet,RB,SEA,26.0,70.0,,26.0,,,,,,,,,,,,,,
18,Derrick Henry,RB,BLT,1.0,59.0,20.0,43.0,,,,,,,,,,,,,,
30,Woody Marks,RB,HST,80.0,39.0,52.0,6.0,,,,,,,,,,,,,,
68,Chris Brooks,RB,GB,66.0,43.0,77.0,67.0,,,,,,,,,,,,,,
29,Justice Hill,RB,BLT,97.0,44.0,37.0,4.0,,,,,,,,,,,,,,
73,Raheim Sanders,RB,CLV,36.0,,,,,,,,,,,,,,,,,
1,Christian McCaffrey,RB,SF,3.0,5.0,6.0,9.0,,,,,,,,,,,,,,
104,Adin Huntington,RB,CLV,84.0,76.0,77.0,77.0,,,,,,,,,,,,,,
41,Rachaad White,RB,TB,52.0,21.0,63.0,40.0,,,,,,,,,,,,,,
44,Isiah Pacheco,RB,KC,43.0,49.0,47.0,23.0,,,,,,,,,,,,,,
13,Ashton Jeanty,RB,LV,24.0,36.0,43.0,1.0,,,,,,,,,,,,,,
52,Kyle Juszczyk,RB,SF,42.0,66.0,38.0,46.0,,,,,,,,,,,,,,
24,Quinshon Judkins,RB,CLV,,29.0,11.0,11.0,,,,,,,,,,,,,,
104,Velus Jones Jr.,RB,NO,,,,77.0,,,,,,,,,,,,,,
65,Tyler Badie,RB,DEN,49.0,48.0,77.0,59.0,,,,,,,,,,,,,,
43,Bhayshul Tuten,RB,JAX,69.0,18.0,34.0,55.0,,,,,,,,,,,,,,
49,Blake Corum,RB,LA,52.0,27.0,50.0,53.0,,,,,,,,,,,,,,
89,Jacardia Wright,RB,SEA,,,66.0,,,,,,,,,,,,,,,
31,Chase Brown,RB,CIN,22.0,34.0,45.0,36.0,,,,,,,,,,,,,,
37,Jacory Croskey-Merritt,RB,WAS,17.0,64.0,26.0,44.0,,,,,,,,,,,,,,
101,Craig Reynolds,RB,DET,,73.0,,,,,,,,,,,,,,,,
104,Jalen Ramsey,RB,PIT,84.0,,77.0,77.0,,,,,,,,,,,,,,
51,Tyrone Tracy,RB,NYG,39.0,33.0,48.0,,,,,,,,,,,,,,,
12,Mark Andrews,TE,BLT,48.0,54.0,2.0,17.0,,,,,,,,,,,,,,
84,Cameron Latu,TE,PHI,,57.0,58.0,57.0,,,,,,,,,,,,,,
30,Ja'Tavion Sanders,TE,CAR,30.0,6.0,40.0,,,,,,,,,,,,,,,
24,Chigoziem Okonkwo,TE,TEN,29.0,20.0,8.0,52.0,,,,,,,,,,,,,,
84,Benjamin Yurosek,TE,MIN,61.0,57.0,58.0,,,,,,,,,,,,,,,
84,Stephen Carlson,TE,CHI,,,,57.0,,,,,,,,,,,,,,
82,Brevyn Spann-Ford,TE,DAL,61.0,55.0,58.0,57.0,,,,,,,,,,,,,,
65,Tip Reiman,TE,ARZ,44.0,,41.0,57.0,,,,,,,,,,,,,,
56,Luke Musgrave,TE,GB,52.0,32.0,58.0,51.0,,,,,,,,,,,,,,
37,Luke Farrell,TE,SF,52.0,13.0,58.0,33.0,,,,,,,,,,,,,,
52,Josh Oliver,TE,MIN,48.0,57.0,17.0,57.0,,,,,,,,,,,,,,
46,Jack Stoll,TE,NO,61.0,57.0,11.0,50.0,,,,,,,,,,,,,,
84,Zaire Mitchell-Paden,TE,BLT,61.0,57.0,58.0,57.0,,,,,,,,,,,,,,
51,John FitzPatrick,TE,GB,57.0,57.0,14.0,57.0,,,,,,,,,,,,,,
84,Moliki Matavao,TE,NO,61.0,57.0,,57.0,,,,,,,,,,,,,,
84,Andrew Ogletree,TE,IND,61.0,57.0,58.0,57.0,,,,,,,,,,,,,,
42,Oronde Gadsden II,TE,LAC,,,13.0,37.0,,,,,,,,,,,,,,
55,Tyler Conklin,TE,LAC,23.0,57.0,58.0,53.0,,,,,,,,,,,,,,
19,Dalton Schultz,TE,HST,26.0,28.0,16.0,21.0,,,,,,,,,,,,,,
84,Teagan Quitoriano,TE,ATL,61.0,57.0,58.0,57.0,,,,,,,,,,,,,,
54,Cade Otton,TE,TB,61.0,31.0,58.0,34.0,,,,,,,,,,,,,,
4,Tyler Warren,TE,IND,3.0,7.0,24.0,2.0,,,,,,,,,,,,,,
84,Jack Westover,TE,NE,61.0,57.0,58.0,57.0,,,,,,,,,,,,,,
13,Travis Kelce,TE,KC,8.0,10.0,26.0,18.0,,,,,,,,,,,,,,
36,Mitchell Evans,TE,CAR,61.0,43.0,45.0,12.0,,,,,,,,,,,,,,
74,Kylen Granson,TE,PHI,60.0,51.0,58.0,57.0,,,,,,,,,,,,,,
25,Tommy Tremble,TE,CAR,57.0,34.0,37.0,6.0,,,,,,,,,,,,,,
78,Chris Manhertz,TE,NYG,61.0,57.0,47.0,57.0,,,,,,,,,,,,,,
27,Hunter Long,TE,JAX,21.0,57.0,39.0,12.0,,,,,,,,,,,,,,
84,John Bates,TE,WAS,61.0,57.0,,,,,,,,,,,,,,,,
40,Pat Freiermuth,TE,PIT,26.0,27.0,50.0,57.0,,,,,,,,,,,,,,
84,Colson Yankoff,TE,WAS,61.0,57.0,58.0,57.0,,,,,,,,,,,,,,
42,Elijah Arroyo,TE,SEA,46.0,33.0,58.0,26.0,,,,,,,,,,,,,,
45,Tyler Higbee,TE,LA,61.0,17.0,58.0,30.0,,,,,,,,,,,,,,
